id,name,feed_site,region,day,time,attendance_option,url,conference_url,conference_url_notes,conference_phone,entity_email,feedback_emails,data_source_name,source_slug
4076,Brixton Real Talk - Wednesday - 19:30 - Online,region,Johannesburg,3,19:30,online,https://na.org.za/blog/meetings/brixton-real-talk/,https://us02web.zoom.us/j/85368480510?pwd=dFFmZEZtY3dwSUhBYTVHR0h3TUlaUT09,Zoom Meeting ID: 853 6848 0510 Passcode: 1953,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Johannesburg,brixton-real-talk
3443,Hour of Power - Online,region,Western Cape,1,20:00,online,https://na.org.za/blog/meetings/hour-of-power-online/,https://us06web.zoom.us/j/9800378208?pwd=vmWE0ylpDKLMzakIr0U8R0CLoj6QpQ.1,,,wc-website-administrator@na.org.za,"['wc-website-administrator@na.org.za', 'wc-website-vicechair@na.org.za', 'wcascwebchair@na.org.za', 'wcwebsitesecretary@na.org.za']",WC,hour-of-power-online
4319,isiZulu Meeting - Sunday - 20:30 - Online,region,Johannesburg,0,20:30,online,https://na.org.za/blog/meetings/isizulu-meeting-3-2/,https://us02web.zoom.us/j/84698590968?pwd=M0d6ZmdWWmx5QkQ0K0hKSVNsR0Vydz09,Zoom Meeting ID: 84698590968 Password: NAisiZulu,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],Johannesburg,isizulu-meeting-3
3611,isiZulu Sunday Online,region,Kwazulu-Natal,0,20:30,online,https://na.org.za/blog/meetings/isizulu-sunday-online/,https://us02web.zoom.us/j/84698590968?pwd=M0d6ZmdWWmx5QkQ0K0hKSVNsR0Vydz09,,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],KZN,isizulu-sunday-online
3902,JFT,region,Johannesburg,1,09:00,online,https://na.org.za/blog/meetings/jft/,,,123456,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4337,JFT Meeting,region,Johannesburg,0,09:00,online,https://na.org.za/blog/meetings/jft-online-7/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4332,JFT Meeting,region,Johannesburg,1,09:00,online,https://na.org.za/blog/meetings/jft-online/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4331,JFT Meeting,region,Johannesburg,2,09:00,online,https://na.org.za/blog/meetings/jft-online-2/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4333,JFT Meeting,region,Johannesburg,3,09:00,online,https://na.org.za/blog/meetings/jft-online-3/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4334,JFT Meeting,region,Johannesburg,4,09:00,online,https://na.org.za/blog/meetings/jft-online-4/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4335,JFT Meeting,region,Johannesburg,5,09:00,online,https://na.org.za/blog/meetings/jft-online-5/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4336,JFT Meeting,region,Johannesburg,6,09:00,online,https://na.org.za/blog/meetings/jft-online-6/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4355,Johannesburg Friday 5:00 pm,region,Johannesburg,5,17:00,online,https://na.org.za/blog/meetings/johannesburg-friday-500-pm/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
4357,Johannesburg Sunday 5:30 pm,region,Johannesburg,0,17:30,online,https://na.org.za/blog/meetings/johannesburg-sunday-530-pm/,https://zoom.us/j/756488015?pwd=KzBlcFlhRGppamNkV0ZZeklFLy9Wdz09,Online meeting password: 123456,,wc-website-administrator@na.org.za,['wc-website-administrator@na.org.za'],,
