site,endpoint,source_url,title,register_match,final_destination,decision
region,pages,https://na.org.za/my-account/,My account,True,/about,final-route
region,pages,https://na.org.za/checkout/,Checkout,True,/about,final-route
region,pages,https://na.org.za/cart/,Cart,True,/about,final-route
region,pages,https://na.org.za/shop/,Shop,True,/about,final-route
region,pages,https://na.org.za/how-to-start-an-na-meeting/,How to start an NA meeting,True,/recovery,final-route
region,pages,https://na.org.za/na-literature/,NA Literature,True,/literature,final-route
region,pages,https://na.org.za/information-about-na/,Information About NA,True,/recovery,final-route
region,pages,https://na.org.za/what-happens-at-an-na-meeting/,What Happens at an NA Meeting?,True,/recovery,final-route
region,pages,https://na.org.za/contact/,Contact,True,/contact,final-route
region,pages,https://na.org.za/about-na/,About NA,True,/about,final-route
region,pages,https://na.org.za/in-person-meetings/,In-Person Meetings,True,/recovery,final-route
region,pages,https://na.org.za/online-meetings/,Online Meetings,True,/recovery,final-route
region,pages,https://na.org.za/meetings/,Meetings,True,/meetings,final-route
region,pages,https://na.org.za/,Home,True,/about,final-route
region,posts,https://na.org.za/blog/hello-world/,Hello world!,True,/news,final-route
johannesburg,pages,https://na.org.za/jhb/contact-us/,Contact Us,True,/contact,final-route
johannesburg,pages,https://na.org.za/jhb/asc-contact-details/,ASC Contact Details,True,/contact,final-route
johannesburg,pages,https://na.org.za/jhb/policies/,Policies,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/7th-tradition/,7th Tradition,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/predatory-behaviour/,Predatory Behaviour,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/subcommittees/,Subcommittees,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/add-event/,Add Event,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/calendar/,Calendar,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/downloads/,Downloads,True,/literature,final-route
johannesburg,pages,https://na.org.za/jhb/na-terminology/,NA Terminology,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/group-readings/,Group Readings,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/literature/,Literature,True,/literature,final-route
johannesburg,pages,https://na.org.za/jhb/add-a-meeting/,Add a Meeting,True,/recovery,final-route
johannesburg,pages,https://na.org.za/jhb/na-meetings/,Meetings,True,/recovery,final-route
johannesburg,pages,https://na.org.za/jhb/new-to-na/,New To NA,True,/areas,final-route
johannesburg,pages,https://na.org.za/jhb/,Home,True,/areas,final-route
johannesburg,posts,https://na.org.za/jhb/2025/11/21/hello-world/,Hello world!,True,/areas,final-route
pretoria,pages,https://na.org.za/pta/na-meetings/,Meetings,True,/recovery,final-route
pretoria,pages,https://na.org.za/pta/for-the-newcomer/,For The Newcomer,True,/recovery,final-route
pretoria,pages,https://na.org.za/pta/group-readings/,Group Readings,True,/areas,final-route
pretoria,pages,https://na.org.za/pta/downloads/,Downloads,True,/literature,final-route
pretoria,pages,https://na.org.za/pta/literature/,Literature,True,/literature,final-route
pretoria,pages,https://na.org.za/pta/contact-us/,Contact Us,True,/contact,final-route
pretoria,pages,https://na.org.za/pta/,Home,True,/areas,final-route
pretoria,posts,https://na.org.za/pta/2025/11/21/hello-world/,Hello world!,True,/areas,final-route
pretoria,tribe_organizer,https://na.org.za/pta/organizer/rowan/,Rowan,True,/areas,final-route
pretoria,tribe_organizer,https://na.org.za/pta/organizer/chante/,Chanté,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/mediapacks-announcements/,Media Packs & Announcements,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/downloads-2/,Downloads 2,True,/literature,final-route
western-cape,pages,https://na.org.za/wc/preambles-for-service/,Preambles For Service,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/who-are-our-members/,Who Are Our Members,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/professionals/,For The Professionals,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/welcome/,Welcome,True,/areas,final-route
western-cape,pages,https://na.org.za/wc/subcommittees/,Subcommittees,True,/areas,final-route
