sourceRoot,filePath,basename,sizeBytes,sha256,kind,status,duplicateCount,duplicatePaths,note
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Area Site Population.txt","Area Site Population.txt","648","59d361f9e1b6354c84b66bf9e647dd9d3992fe4243772598d5339329ea6f25a6","supporting-source","reviewed","1","/home/ubuntu/upload/AreaSitePopulation.txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Audit_Report.html","Audit_Report.html","7678","bb2b8cdf4a63e815d0f20d0af69afedff7133cab4c1300487ac2dbfcfea92975","audit-evidence","implemented","1","/home/ubuntu/upload/Audit_Report.html","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Executive_Summary_Email.md","Executive_Summary_Email.md","3630","e8fc298342efa59aa63092d10ac2d170fcd60dd134fb40e45a69678296123bfc","audit-evidence","implemented","1","/home/ubuntu/upload/Executive_Summary_Email.md","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Extract the color palette.txt","Extract the color palette.txt","1086","98ad51007d5ab76e37b76a12a4dc9b6e32c32ee530fd9c3f71ee7cfb15f7caad","supporting-source","reviewed","1","/home/ubuntu/upload/Extractthecolorpalette.txt","Included in the source inventory; mapped content is represented in migration evidence where applicable."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/files (1).zip","files (1).zip","497579","e2056a03c14ac9231c800202a9306ae23ca34eb04bf069a07ae4ebeb788c86c7","media-source","implemented-partial","1","/home/ubuntu/upload/files(1).zip","Validated and uploaded through managed storage; approved area imagery still requires generation and intake."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/Full_Technical_Audit_Report.md","Full_Technical_Audit_Report.md","9778","d33935308d7165c78d9f208fdbb83a20a4d657c43e0934dcde536db3f397b595","audit-evidence","implemented","1","/home/ubuntu/upload/Full_Technical_Audit_Report.md","Reviewed and represented in migration, QA, and acceptance evidence."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (1).csv","meetings (1).csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(1).csv | /home/ubuntu/upload/meetings(2).csv | /home/ubuntu/upload/meetings.csv | /home/ubuntu/projects/website-db3e2312/meetings (2).csv | /home/ubuntu/projects/website-db3e2312/meetings.csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (2).csv","meetings (2).csv","151553","12787de167823010f282b88efc393c0caedcc4dbbe1be38862b6a146c5308263","source-data","implemented-partial","5","/home/ubuntu/upload/meetings(1).csv | /home/ubuntu/upload/meetings(2).csv | /home/ubuntu/upload/meetings.csv | /home/ubuntu/projects/website-db3e2312/meetings (1).csv | /home/ubuntu/projects/website-db3e2312/meetings.csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (3).csv","meetings (3).csv","40253","e2241026b95713184bc5dc51175a73059e823bbe4c4efdcc0c438912a5024ef9","source-data","implemented-partial","1","/home/ubuntu/upload/meetings(3).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
"/home/ubuntu/projects/website-db3e2312","/home/ubuntu/projects/website-db3e2312/meetings (4).csv","meetings (4).csv","21613","de24955d8261b935bafd650c777dec016f48d1e27daec026ebb6d05e80649971","source-data","implemented-partial","1","/home/ubuntu/upload/meetings(4).csv","Reconciled into the meeting corpus; 307 published and staged review evidence retained."
