attachment_id,title,source_export,source_url,source_page_count,source_pages_json
4,favicon,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/favicon.png,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4"", ""title"": ""favicon"", ""url"": ""https://na.org.za/jhb/favicon/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""5"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/jhb/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""post-parent""}]"
5,cropped-favicon.png,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/cropped-favicon.png,1,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""5"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/jhb/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}]"
70,logo,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/logo.png,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""70"", ""title"": ""logo"", ""url"": ""https://na.org.za/jhb/logo/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""69"", ""title"": ""Theme Builder Layout"", ""url"": ""https://na.org.za/jhb/et_footer_layout/theme-builder-layout/"", ""post_type"": ""et_footer_layout"", ""relation"": ""text-reference""}]"
78,29680,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/29680.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""78"", ""title"": ""29680"", ""url"": ""https://na.org.za/jhb/29680/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4781"", ""title"": ""Policies and Resources"", ""url"": ""https://na.org.za/jhb/et_pb_layout/policies-and-resources/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""37"", ""title"": ""Policies"", ""url"": ""https://na.org.za/jhb/policies/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
79,129014,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/129014.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""79"", ""title"": ""129014"", ""url"": ""https://na.org.za/jhb/129014/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/jhb/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""35"", ""title"": ""7th Tradition"", ""url"": ""https://na.org.za/jhb/7th-tradition/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
80,zapper,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/zapper.png,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""80"", ""title"": ""zapper"", ""url"": ""https://na.org.za/jhb/zapper/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/jhb/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
81,2150951473,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2150951473.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""81"", ""title"": ""2150951473"", ""url"": ""https://na.org.za/jhb/2150951473/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4779"", ""title"": ""Subcommittees"", ""url"": ""https://na.org.za/jhb/et_pb_layout/subcommittees/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""31"", ""title"": ""Subcommittees"", ""url"": ""https://na.org.za/jhb/subcommittees/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
82,559,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/559.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""82"", ""title"": ""559"", ""url"": ""https://na.org.za/jhb/559/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4778"", ""title"": ""Add Event"", ""url"": ""https://na.org.za/jhb/et_pb_layout/add-event/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""29"", ""title"": ""Add Event"", ""url"": ""https://na.org.za/jhb/add-event/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
83,584,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/584.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""83"", ""title"": ""584"", ""url"": ""https://na.org.za/jhb/584/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4777"", ""title"": ""Events"", ""url"": ""https://na.org.za/jhb/et_pb_layout/events/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""26"", ""title"": ""Calendar"", ""url"": ""https://na.org.za/jhb/calendar/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
84,2733704_12016-scaled-1,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2733704_12016-scaled-1.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""84"", ""title"": ""2733704_12016-scaled-1"", ""url"": ""https://na.org.za/jhb/2733704_12016-scaled-1/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4776"", ""title"": ""Common NA Terminology"", ""url"": ""https://na.org.za/jhb/et_pb_layout/common-na-terminology/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""22"", ""title"": ""NA Terminology"", ""url"": ""https://na.org.za/jhb/na-terminology/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
