menu_title,legacy_target,source_exports,final_destination,decision,rationale
,12,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,14,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml | narcoticsanonymoussouthafricaregion.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,16,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,18,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,20,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,22,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,24,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,26,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,29,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,31,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,33,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,35,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,37,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,39,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,41,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4661,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4666,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4673,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4678,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4693,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4703,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4708,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4715,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4722,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4728,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4735,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4741,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4783,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4786,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4788,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4790,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4792,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4794,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4799,narcoticsanonymouspretoria.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
,4856,narcoticsanonymouswesterncape.WordPress.2026-08-16.xml,/about,final-route,general legacy content receives a stable national landing route; source copy remains staged for editorial expansion
