attachment_id,title,source_export,source_url,archive_path,unique_relative_path,local_path,source_page_count,source_pages_json,managed_storage_url,upload_status,source_linkage_status,sha256,basename_collision_count,identical_binary_count,archive_variant_count,derivative_variant_count,archive_variant_paths_json,canonical_archive_path_linked,canonical_selection_status,duplicate_or_variant_rationale,binary_duplicate_rationale,derivative_variant_rationale,unresolved_status
4,favicon,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/favicon.png,uploads/2025/11/favicon.png,narcoticsanonymousjohannesburg/2025/11/favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/2025/11/favicon.png,2,"[{""xml_export"": ""narcoticsanonymouspretoria.WordPress.2026-08-16.xml"", ""source_id"": ""4"", ""title"": ""favicon"", ""url"": ""https://na.org.za/pta/favicon/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouspretoria.WordPress.2026-08-16.xml"", ""source_id"": ""5"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/pta/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""post-parent""}]",/manus-storage/favicon_76f87aa6.png,uploaded,linked,f5d430889ce2151b288dcbb7d01eef450ccfe87172684a86f09037000e015741,5,5,5,4,"[""uploads/2025/11/favicon.png"", ""uploads/sites/2/2025/11/favicon.png"", ""uploads/sites/3/2025/11/favicon.png"", ""uploads/sites/4/2025/11/favicon.png"", ""uploads/sites/5/2025/11/favicon.png""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 5 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,4 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
5,cropped-favicon.png,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/cropped-favicon.png,uploads/2025/11/cropped-favicon.png,narcoticsanonymousjohannesburg/2025/11/cropped-favicon.png,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/2025/11/cropped-favicon.png,1,"[{""xml_export"": ""narcoticsanonymouspretoria.WordPress.2026-08-16.xml"", ""source_id"": ""5"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/pta/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}]",/manus-storage/cropped-favicon_f54a796f.png,uploaded,linked,df210711106a3cdffb6cb3fd6530bda5429bc43139e96acf6f3e73b178d438dd,5,5,5,4,"[""uploads/2025/11/cropped-favicon.png"", ""uploads/sites/2/2025/11/cropped-favicon.png"", ""uploads/sites/3/2025/11/cropped-favicon.png"", ""uploads/sites/4/2025/11/cropped-favicon.png"", ""uploads/sites/5/2025/11/cropped-favicon.png""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 5 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,4 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
70,logo,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/logo.png,uploads/2025/11/logo.png,narcoticsanonymousjohannesburg/2025/11/logo.png,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/2025/11/logo.png,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""70"", ""title"": ""logo"", ""url"": ""https://na.org.za/jhb/logo/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""69"", ""title"": ""Theme Builder Layout"", ""url"": ""https://na.org.za/jhb/et_footer_layout/theme-builder-layout/"", ""post_type"": ""et_footer_layout"", ""relation"": ""text-reference""}]",/manus-storage/logo_b2c81b15.png,uploaded,linked,e060ea3b52588002a2fdde02bb5b1206d2c36febbfebddd484237f8faaf63ad0,5,5,5,4,"[""uploads/2025/11/logo.png"", ""uploads/sites/2/2025/11/logo.png"", ""uploads/sites/3/2025/11/logo.png"", ""uploads/sites/4/2025/11/logo.png"", ""uploads/sites/5/2025/11/logo.png""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 5 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,4 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
78,29680,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/29680.jpg,uploads/sites/2/2025/11/29680.jpg,narcoticsanonymousjohannesburg/sites/2/2025/11/29680.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/29680.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""78"", ""title"": ""29680"", ""url"": ""https://na.org.za/jhb/29680/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4781"", ""title"": ""Policies and Resources"", ""url"": ""https://na.org.za/jhb/et_pb_layout/policies-and-resources/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""37"", ""title"": ""Policies"", ""url"": ""https://na.org.za/jhb/policies/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/29680_a23b1f9c.jpg,uploaded,linked,568becb9033e554dcd2cf4bf5605622b1145adbd9f364e57d03da3a61fade568,4,4,4,3,"[""uploads/sites/2/2025/11/29680.jpg"", ""uploads/sites/3/2025/11/29680.jpg"", ""uploads/sites/4/2025/11/29680.jpg"", ""uploads/sites/5/2025/11/29680.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
79,129014,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/129014.jpg,uploads/sites/2/2025/11/129014.jpg,narcoticsanonymousjohannesburg/sites/2/2025/11/129014.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/129014.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""79"", ""title"": ""129014"", ""url"": ""https://na.org.za/jhb/129014/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/jhb/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""35"", ""title"": ""7th Tradition"", ""url"": ""https://na.org.za/jhb/7th-tradition/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/129014_8bb0ef36.jpg,uploaded,linked,9ee2338cbce4746670206a0504a6f0d87b3ef7dbd29a772d979abdd05e019a28,4,4,4,3,"[""uploads/sites/2/2025/11/129014.jpg"", ""uploads/sites/3/2025/11/129014.jpg"", ""uploads/sites/4/2025/11/129014.jpg"", ""uploads/sites/5/2025/11/129014.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
80,zapper,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/zapper.png,uploads/sites/2/2025/11/zapper.png,narcoticsanonymousjohannesburg/sites/2/2025/11/zapper.png,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/zapper.png,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""80"", ""title"": ""zapper"", ""url"": ""https://na.org.za/jhb/zapper/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/jhb/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]",/manus-storage/zapper_0fa13181.png,uploaded,linked,8874197e3371b0db1e36140d727897d673ca7af9077a32f0839bdfad922592b2,4,4,4,3,"[""uploads/sites/2/2025/11/zapper.png"", ""uploads/sites/3/2025/11/zapper.png"", ""uploads/sites/4/2025/11/zapper.png"", ""uploads/sites/5/2025/11/zapper.png""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
81,2150951473,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2150951473.jpg,uploads/sites/2/2025/11/2150951473.jpg,narcoticsanonymousjohannesburg/sites/2/2025/11/2150951473.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/2150951473.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""81"", ""title"": ""2150951473"", ""url"": ""https://na.org.za/jhb/2150951473/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4779"", ""title"": ""Subcommittees"", ""url"": ""https://na.org.za/jhb/et_pb_layout/subcommittees/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""31"", ""title"": ""Subcommittees"", ""url"": ""https://na.org.za/jhb/subcommittees/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/2150951473_6cb18613.jpg,uploaded,linked,0bd62de9f2a0aff6f9b4614d3b29dccbaaaf7b6ff4c2bb7edda6e429fe33dddd,4,4,4,3,"[""uploads/sites/2/2025/11/2150951473.jpg"", ""uploads/sites/3/2025/11/2150951473.jpg"", ""uploads/sites/4/2025/11/2150951473.jpg"", ""uploads/sites/5/2025/11/2150951473.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
82,559,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/559.jpg,uploads/sites/2/2025/11/559.jpg,narcoticsanonymousjohannesburg/sites/2/2025/11/559.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/559.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""82"", ""title"": ""559"", ""url"": ""https://na.org.za/jhb/559/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4778"", ""title"": ""Add Event"", ""url"": ""https://na.org.za/jhb/et_pb_layout/add-event/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""29"", ""title"": ""Add Event"", ""url"": ""https://na.org.za/jhb/add-event/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/559_38cf3d3c.jpg,uploaded,linked,95f07596585d9e24cb09572a1ab8e7ae1f2102450b729a5e70411dde7c9ca94c,4,4,4,3,"[""uploads/sites/2/2025/11/559.jpg"", ""uploads/sites/3/2025/11/559.jpg"", ""uploads/sites/4/2025/11/559.jpg"", ""uploads/sites/5/2025/11/559.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
83,584,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/584.jpg,uploads/sites/2/2025/11/584.jpg,narcoticsanonymousjohannesburg/sites/2/2025/11/584.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/2/2025/11/584.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""83"", ""title"": ""584"", ""url"": ""https://na.org.za/jhb/584/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4777"", ""title"": ""Events"", ""url"": ""https://na.org.za/jhb/et_pb_layout/events/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""26"", ""title"": ""Calendar"", ""url"": ""https://na.org.za/jhb/calendar/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/584_6c0e2e37.jpg,uploaded,linked,811e4790e81520fc1b5394026d8d3a814090af9a72b1d3d75bca2d995c250bb0,4,4,4,3,"[""uploads/sites/2/2025/11/584.jpg"", ""uploads/sites/3/2025/11/584.jpg"", ""uploads/sites/4/2025/11/584.jpg"", ""uploads/sites/5/2025/11/584.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 4 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,3 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
84,2733704_12016-scaled-1,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2733704_12016-scaled-1.jpg,uploads/sites/3/2025/11/2733704_12016-scaled-1.jpg,narcoticsanonymousjohannesburg/sites/3/2025/11/2733704_12016-scaled-1.jpg,/home/ubuntu/webdev-static-assets/na-south-africa-unique/narcoticsanonymousjohannesburg/sites/3/2025/11/2733704_12016-scaled-1.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""84"", ""title"": ""2733704_12016-scaled-1"", ""url"": ""https://na.org.za/jhb/2733704_12016-scaled-1/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4776"", ""title"": ""Common NA Terminology"", ""url"": ""https://na.org.za/jhb/et_pb_layout/common-na-terminology/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""22"", ""title"": ""NA Terminology"", ""url"": ""https://na.org.za/jhb/na-terminology/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]",/manus-storage/2733704_12016-scaled-1_893ab0ba.jpg,uploaded,linked,a673ed98e8bba3c5ea9b26a71a7a709603dca8f5aef3a80568cee4b08b3cc84e,3,3,3,2,"[""uploads/sites/3/2025/11/2733704_12016-scaled-1.jpg"", ""uploads/sites/4/2025/11/2733704_12016-scaled-1.jpg"", ""uploads/sites/5/2025/11/2733704_12016-scaled-1.jpg""]",yes,retained-canonical-source-attachment,Retained as a distinct canonical attachment because the same basename occurs in 3 source-relative records; the unique relative path prevents overwrite.,Identical binary occurs in multiple source-relative attachments; each source attachment remains separately traceable and is not overwritten.,2 additional linked archive-file variant(s) were recorded for this attachment; only the exact canonical attachment is in the controlled upload set.,none
