rebuild_id,legacy_id,area,meeting_name,schedule,live_attendance_option,live_types,live_updated,live_location,decision_required,owner_decision,confirmation_date,confirmed_by,verification_notes
"8","3615","Pretoria","Monday Second Chance Meeting","[""monday""] 17:00","inactive","TC","2021-06-27 13:57:36","Mamelodi","Confirm resumed and provide current details, or retain archived","","","",""
"63","3635","Pretoria","Tuesday Second Chance Meeting","[""tuesday""] 17:00","inactive","TC","2021-06-27 13:58:46","Mamelodi","Confirm resumed and provide current details, or retain archived","","","",""
"67","4078","Johannesburg","Diepkloof - Tuesday - 18:00","[""tuesday""] 18:00","inactive","TC","2025-03-24 07:18:38","3707B Molatedi Street Zone3 Diepkloof","Confirm resumed and provide current details, or retain archived","","","",""
"74","4093","Johannesburg","Towerby - Tuesday - 19:00 - Meeting is closed","[""tuesday""] 19:00","inactive","TC","2026-05-08 10:25:38","8 Marilyn street, Towerby, 2190","Confirm resumed and provide current details, or retain archived","","","",""
"77","3639","Pretoria","Mamelodi Meeting","[""tuesday""] 19:00","inactive","BEG, TC","2020-12-29 10:52:56","Eastwood","Confirm resumed and provide current details, or retain archived","","","",""
"94","4095","Johannesburg","Newclare – Tuesday – 19:30 - Temp Closed","[""tuesday""] 19:30","inactive","TC","2026-04-21 10:25:58","4 Hoy St, Newclare, Randburg","Confirm resumed and provide current details, or retain archived","","","",""
"108","3649","Pretoria","Soshanguve Meeting - Wednesday","[""wednesday""] 13:00","inactive","O","2026-03-24 07:31:18","Memezelo High School","Confirm resumed and provide current details, or retain archived","","","",""
"113","3650","Pretoria","Wednesday Second Chance Meeting","[""wednesday""] 17:00","inactive","TC","2021-06-27 13:59:49","Mamelodi","Confirm resumed and provide current details, or retain archived","","","",""
"130","3653","Pretoria","Wednesday Hillcrest Meeting","[""wednesday""] 19:00","inactive","TC","2024-01-16 02:43:12","Hillcrest","Confirm resumed and provide current details, or retain archived","","","",""
"164","3662","Pretoria","Thursday Second Chance Meeting","[""thursday""] 17:00","inactive","TC","2021-06-27 14:00:42","Mamelodi","Confirm resumed and provide current details, or retain archived","","","",""
"173","4385","Johannesburg","Bosmont - Thursday - 18:30 - Temp Closed","[""thursday""] 18:30","inactive","EN, TC","2026-05-15 07:33:32","Bosmont Recreation Centre","Confirm resumed and provide current details, or retain archived","","","",""
"178","3667","Pretoria","Thursday Thabazimbi Meeting","[""thursday""] 18:30","inactive","TC","2021-06-27 13:51:22","Thabazimbi","Confirm resumed and provide current details, or retain archived","","","",""
"183","3669","Pretoria","Thursday Women's Meeting","[""thursday""] 19:00","inactive","BT, TC, O","2026-07-31 06:43:38","Constantia Park","Confirm resumed and provide current details, or retain archived","","","",""
"189","3676","Pretoria","Men's Meeting","[""thursday""] 19:00","inactive","BT, TC, O","2026-04-30 02:09:05","Olympus","Confirm resumed and provide current details, or retain archived","","","",""
"223","3682","Pretoria","Friday Second Chance Meeting","[""friday""] 17:00","inactive","TC","2021-06-27 14:03:36","Mamelodi","Confirm resumed and provide current details, or retain archived","","","",""
"240","3686","Pretoria","Friday Eersterus","[""friday""] 19:00","inactive","BEG, TC","2021-06-27 13:52:55","Eersterus","Confirm resumed and provide current details, or retain archived","","","",""
"246","3688","Pretoria","Friday Lyttleton","[""friday""] 19:00","inactive","TC, TOP, O","2026-07-26 08:23:41","Lyttleton","Confirm resumed and provide current details, or retain archived","","","",""
"268","4279","Johannesburg","Eldorado Park - Saturday - 10:00","[""saturday""] 10:00","inactive","O","2024-09-26 02:12:03","Eldorado Park Ext 9 Community Clinic and center","Confirm resumed and provide current details, or retain archived","","","",""
"290","4284","Johannesburg","Oaklands - Saturday - 19:30 (Bonfire)","[""saturday""] 19:30","inactive","TC, O","2025-11-29 10:18:56","41 Pretoria street oaklands","Confirm resumed and provide current details, or retain archived","","","",""
"299","3693","Pretoria","Soshanguve Meeting - Sunday","[] 10:00","inactive","O, TOP","2026-03-24 07:44:27","Memezelo High School","Confirm resumed and provide current details, or retain archived","","","",""
"302","4328","Johannesburg","Parkhurst - Sunday - 15:00","[] 15:00","inactive","BEG, TC","2026-01-11 07:29:44","Parkhurst Recreation Centre","Confirm resumed and provide current details, or retain archived","","","",""
