legacy_id,meeting_name,area,schedule,format,source_address,source_coordinates,legacy_geocode,address_verified,map_pin_confirmed,spelling_checked,contact_confirmed,priority,qa_status,source_url
4340,Serenity@Sunrise,Johannesburg,Monday 06:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/serenitysunrise1/
3902,JFT,Johannesburg,Monday 09:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/jft/
4332,JFT Meeting,Johannesburg,Monday 09:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/jft-online/
4406,Klerksdorp - Monday - 10:00,Johannesburg,Monday 10:00,in_person,"63 Alex St, Alabama, Klerksdorp, 2577, South Africa","-26.8728027, 26.5884986",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/klerksdorp-monday-1000/
3613,Hammanskraal Meeting - Monday,Pretoria,Monday 10:00,in_person,"2875 Molefe Makinta Rd, Kudube Unit 2, Temba, 0400, South Africa","-25.3698049, 28.2520853",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/hammanskraal-meeting-monday-open/
3425,Green market square Express,Western Cape,Monday 13:05,in_person,"151 Longmarket St, Cape Town City Centre, Cape Town, 8000, South Africa","-33.9228607, 18.4195143",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/just-for-today/
4349,Virtual Online Group (VOG),Johannesburg,Monday 17:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/virtual-online-group-vog/
3615,Monday Second Chance Meeting,Pretoria,Monday 17:00,inactive,"Dr Ribane Cres, Mamelodi - MD1, Pretoria, 0122, South Africa","-25.705918, 28.357379",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/monday-second-chance-meeting/
3907,Senaone Soweto - Monday - 18:00,Johannesburg,Monday 18:00,in_person,"Makhetha St, Protea North, Soweto, 1815, South Africa","-26.2736579, 27.832889",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/senaone-soweto-monday-1800/
3909,Phefeni Soweto - Monday - 18:00,Johannesburg,Monday 18:00,in_person,"Funani St, Orlando, Soweto, 1804, South Africa","-26.2331642, 27.9047098",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/phefeni-miracles/
3426,Green Point JFT (F2F),Western Cape,Monday 18:00,in_person,"2 Somerset Rd, Green Point, Cape Town, 8001, South Africa","-33.9161263, 18.418842",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/just-for-today-2a/
3427,Just For Today CPT - Online,Western Cape,Monday 18:00,online,"Western Cape, South Africa","-33.2277918, 21.8568586",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/just-for-today-2/
4445,Kempton Park - Monday - 18:30,Johannesburg,Monday 18:30,in_person,"133 Plane Rd, Spartan, Kempton Park, 1619, South Africa","-26.1100543, 28.2186643",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/kempton-park-monday-1830/
3911,Florida - Monday - 18:30,Johannesburg,Monday 18:30,in_person,"43 Madeline St, Florida, Roodepoort, 1710, South Africa","-26.1725192, 27.9182898",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/florida-mondays-1830/
3507,Durban North Monday,Kwazulu-Natal,Monday 18:30,in_person,"3 Swapo Rd, Durban North, 4051, South Africa","-29.7842701, 31.0385933",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/durban-north-monday/
4400,Weltevreden Park - Monday - 19:00,Johannesburg,Monday 19:00,in_person,"1140 Cornelius St, Weltevredenpark, Johannesburg, 1709, South Africa","-26.126518, 27.9261138",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/weltevreden-park-mondays-1900/
3428,Blouberg - Surrender to Monday,Western Cape,Monday 19:00,in_person,"3 Batavia Rd, Bloubergstrand, Cape Town, 7436, South Africa","-33.8001221, 18.4594127",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/surrender-to-monday/
3915,Vanderbijlpark - Monday - 19:00,Johannesburg,Monday 19:00,in_person,"90 Abraham St, Mantervrede AH, Vanderbijlpark, South Africa","-26.74229, 27.8116",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/vanderbijlpark-monday-1900/
3509,Phoenix Monday,Kwazulu-Natal,Monday 19:00,in_person,"14 Grandmore Rd, Grove End, Phoenix, 4068, South Africa","-29.6984235, 31.0257716",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/phoenix-monday/
3429,Delft Against All Odds,Western Cape,Monday 19:00,in_person,"Voorbrug Rd, Delft, Cape Town, 7100, South Africa","-33.9742275, 18.6443664",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/delft/
3430,City Bowl,Western Cape,Monday 19:00,in_person,"55 Kloof St, Gardens, Cape Town, 8001, South Africa","-33.9293726, 18.4116357",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/city-bowl/
3617,Monday Garsfontein Meeting,Pretoria,Monday 19:00,in_person,"Hilda Botha St, Garsfontein, Pretoria, 0042, South Africa","-25.7920413, 28.2860626",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/spiritual-principles/
3431,Plettenberg Bay (Share / Topic Meeting),Western Cape,Monday 19:00,in_person,"11 Green Point Ave, Plettenberg Bay, 6600, South Africa","-34.0623416, 23.3654226",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/plettenberg-bay-2/
4358,Spiritual Principles,Johannesburg,Monday 19:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/spiritual-principles-2/
3917,LGBTQIA - Monday - 19:00 - Online,Johannesburg,Monday 19:00,online,"Johannesburg South, 2190, South Africa","-26.2573212, 28.0478826",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/lgbtqia-monday-1900-online/
3619,Monday Lyttleton,Pretoria,Monday 19:00,in_person,"113 Monument Ave, Lyttelton Manor, Centurion, 0157, South Africa","-25.8326962, 28.204478",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/topic-3/
3432,Mosselbay,Western Cape,Monday 19:00,in_person,"Queen St, Kwanonqaba, Mossel Bay, 6506, South Africa","-34.16859, 22.100618",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/mossel-bay/
3621,Monday Montana Meeting,Pretoria,Monday 19:00,in_person,"435 3rd Rd, Montana, Pretoria, 0187, South Africa","-25.6677021, 28.2347045",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/back-to-basics/
3623,Monday Rietvlei Meeting,Pretoria,Monday 19:00,online,"Mabeskraal, 0313, South Africa","-25.2106078, 26.8218297",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/monday-rietvlei-meeting-open/
3625,Monday Rustenburg Meeting,Pretoria,Monday 19:00,in_person,"Unnamed Rd, Malebitsa, South Africa","-24.8987379, 28.9329028",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/monday-rustenburg-meeting-open/
3433,Constantia Monday,Western Cape,Monday 19:00,in_person,"17 Silverhurst Way, Bergvliet, Cape Town, 7945, South Africa","-34.0503996, 18.4578814",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/constantia/
3434,Stellenbosch,Western Cape,Monday 19:00,in_person,"4 Rustenburg Way, Idasvallei, Stellenbosch, 7609, South Africa","-33.924459, 18.8785029",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/stellenbosch/
3511,Umbilo Monday,Kwazulu-Natal,Monday 19:00,in_person,"55 Bartle Rd, Umbilo, Berea, 4075, South Africa","-29.8794501, 30.9864428",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/umbilo-monday/
3435,NA Hermanus,Western Cape,Monday 19:00,in_person,"13 Royal St, Hermanus, 7200, South Africa","-34.4161673, 19.2419879",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/na-hermanus/
3513,Austerville Monday,Kwazulu-Natal,Monday 19:00,in_person,"2 Petingo Grove, Austerville, Bluff, 4052, South Africa","-29.9409252, 30.9809018",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/austerville-monday/
3436,Gordon's Bay Monday Night,Western Cape,Monday 19:15,in_person,"87 Beach Rd, Gordons Bay Central, Cape Town, 7151, South Africa","-34.1614874, 18.8674013",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/gordons-bay/
3922,Brackenhurst - Monday - 19:30,Johannesburg,Monday 19:30,in_person,"9 Toinette St, Brackenhurst, Alberton, 1453, South Africa","-26.333922, 28.1065805",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/brackenhurst-monday-1900-2/
3925,Norscot - Monday - 19:30,Johannesburg,Monday 19:30,in_person,"16B Penguin Dr, Norscot, Sandton, 2055, South Africa","-26.0354488, 28.0073574",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/norscot-monday-1930/
3935,Rosebank - Monday - 19:30,Johannesburg,Monday 19:30,in_person,"68 7th Ave, Parktown North, Randburg, 2193, South Africa","-26.1452437, 28.0342754",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/rosebank-monday-2/
3940,Edenvale - Monday - 19:30,Johannesburg,Monday 19:30,in_person,"92 Voortrekker Ave, Edenvale, 1609, South Africa","-26.1381921, 28.1523465",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/edenvale-monday-1930-2/
3437,Bonteheuwel Meeting,Western Cape,Monday 19:30,in_person,"Elder St & Jakkalsvlei Ave, Bonteheuwel, Cape Town, 7764, South Africa","-33.9462468, 18.5512115",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/bonteheuwel/
3438,Durbanville Together We Can,Western Cape,Monday 19:30,in_person,"5 Louw St, Durbanville, Cape Town, 7550, South Africa","-33.8332707, 18.6511041",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/durbanville/
3439,Lansdowne Searching and Fearless,Western Cape,Monday 19:30,in_person,"63 Church St, Lansdowne, Cape Town, 7780, South Africa","-33.994866, 18.504647",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/lansdowne/
3440,Blue Monday Steenberg,Western Cape,Monday 19:30,in_person,"24 Service Rd, Muizenberg, Cape Town, 7945, South Africa","-34.0841507, 18.4552389",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/blue-monday-steenberg/
3515,Chatsworth Monday,Kwazulu-Natal,Monday 19:30,in_person,"14 Joyhurst St, Westcliff, Chatsworth, 4092, South Africa","-29.9146577, 30.8792426",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/chatsworth-monday/
3517,Newlands East Monday,Kwazulu-Natal,Monday 19:30,in_person,"Garrick Cres, Newlands East, 4037, South Africa","-29.7697848, 30.983018",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/newlands-east-monday/
3441,No Matter What,Western Cape,Monday 19:30,in_person,"Rawson St & Collingwood Rd, Observatory, Cape Town, 7925, South Africa","-33.9368288, 18.4690212",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/observatory/
3951,Rosettenville - Monday - 19:30 - Online,Johannesburg,Monday 19:30,online,"Rosettenville, Johannesburg South, 2190, South Africa","-26.2527573, 28.0566638",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/rosettenville-na-2/
3442,Carrying the Message,Western Cape,Monday 19:30,in_person,"9 Cassino Rd, Plumstead, Cape Town, 7801, South Africa","-34.0292019, 18.4813627",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/southfield/
3962,Lenasia - Monday- 20:00,Johannesburg,Monday 20:00,in_person,"5 Suikerbos St, Lenasia, 1821, South Africa","-26.3213547, 27.8376222",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/lenasia-wednesday-2000-2/
3971,Thames House - Monday - 20:00,Johannesburg,Monday 20:00,in_person,"Hope St, Roodepoort 302-Iq, 1829, South Africa","-26.3536644, 27.8512737",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/thames-house-group-monday-2000-3/
3443,Hour of Power - Online,Western Cape,Monday 20:00,online,"Western Cape, South Africa","-33.2277918, 21.8568586",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/hour-of-power-online/
