legacy_url,legacy_path,owning_area,audit_categories,highest_severity,sample_issues,planned_destination,migration_status,redirect_required
https://cpanel.na.org.za/,/,Region,Security & privacy,Medium,cPanel and webmail login screens are reachable from the open internet,/,Not started,To assess
https://na.org.za/,/,Johannesburg; KwaZulu-Natal; Pretoria; Region; Western Cape,Accessibility & mobile; Broken links; Content; Headings; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/,Not started,To assess
https://na.org.za/about-na/,/about-na/,Region,Accessibility & mobile; Broken links; Meta descriptions; Security & privacy; Spelling,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,Route mapping required,Not started,To assess
https://na.org.za/blog/author/wc-website-administratorna-org-za,/blog/author/wc-website-administratorna-org-za,Region,Security & privacy,Medium,Public author page puts an administrator email address in the web address,Route mapping required,Not started,To assess
https://na.org.za/blog/category/uncategorized/,/blog/category/uncategorized/,Region,Accessibility & mobile; Broken links; Content; Headings; Meta descriptions; Page titles; Security & privacy; Spelling,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,Route mapping required,Not started,To assess
https://na.org.za/blog/hello-world/,/blog/hello-world/,Region,Accessibility & mobile; Broken links; Headings; Meta descriptions; Security & privacy; Spelling,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,Route mapping required,Not started,To assess
https://na.org.za/blog/locations/,/blog/locations/,Region,Accessibility & mobile; Headings; Indexing & canonicals; Meta descriptions; Page titles; Spelling,Medium,Missing mobile viewport meta tag | Missing meta description | Missing canonical tag,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1-pam-rd-morningside-sandton-2057-south-africa-2/,/blog/locations/1-pam-rd-morningside-sandton-2057-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Page titles; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/10-cnr-central-and-noord-street-noordgesig-soweto-1804-2/,/blog/locations/10-cnr-central-and-noord-street-noordgesig-soweto-1804-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/10-tehore-rdmulbarton-johannesburg-south-2091/,/blog/locations/10-tehore-rdmulbarton-johannesburg-south-2091/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/108-colorado-dr-riverlea-johannesburg-2093-south-africa-2/,/blog/locations/108-colorado-dr-riverlea-johannesburg-2093-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1140-cornelius-st-weltevredenpark-roodepoort-1709-south-africa/,/blog/locations/1140-cornelius-st-weltevredenpark-roodepoort-1709-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/115-grosvenor-rd-bryanston-sandton-2191-south-africa/,/blog/locations/115-grosvenor-rd-bryanston-sandton-2191-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/133-plane-road-spartan-kempton-park-1619/,/blog/locations/133-plane-road-spartan-kempton-park-1619/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/134-gardiner-street-brakpan-1540/,/blog/locations/134-gardiner-street-brakpan-1540/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/152-market-street-fairlands/,/blog/locations/152-market-street-fairlands/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1559-link-st-orange-farm-johannesburg-1841-south-africa/,/blog/locations/1559-link-st-orange-farm-johannesburg-1841-south-africa/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
https://na.org.za/blog/locations/1607-kanya-rd-senaoane-soweto-1818-south-africa-2/,/blog/locations/1607-kanya-rd-senaoane-soweto-1818-south-africa-2/,Region,Accessibility & mobile; Broken links; Content; Crawl & indexation; Headings; Indexing & canonicals; Meta descriptions; Security & privacy,High,Pinch-to-zoom disabled — people cannot enlarge text on a phone | Link points to a page that does not exist (404) | Insecure http:// resource on a secure page,/areas (area-level migration),Not started,To assess
