pdf_day,pdf_region,pdf_time,pdf_name,pdf_venue_excerpt,csv_name,csv_address,name_similarity,matched
sunday,JOHANNESBURG,9 am,Sydenham - Sunday - 09:00,"27 George Ave 3:30 pm    Sunninghill - Sunday - 15:30 67 Nanyuki Rd, Sunninghill, Sandton, 2157,",Sydenham - Sunday - 09:00,"27 George Ave, Fairmount, Johannesburg, 2192, South Africa",1.25,True
sunday,JOHANNESBURG,3:30 pm,Sunninghill - Sunday - 15:30,"67 Nanyuki Rd, Sunninghill, Sandton, 2157, South Africa, 67 Nanyuki Rd 4 pm       Alexander - Sunday - 16:00",Sunninghill - Sunday - 15:30,"67 Nanyuki Rd, Sunninghill, Johannesburg, 2191, South Africa",1.25,True
sunday,JOHANNESBURG,4 pm,Alexander - Sunday - 16:00,386 E Bank Ave 4:30 pm    Senaone Soweto - Sunday - 16:30                 O 1607 Kanya Rd,Alexander - Sunday - 16:00,"386 E Bank Ave, Alexandra, 2014, South Africa",1.25,True
sunday,JOHANNESBURG,4:30 pm,Senaone Soweto - Sunday - 16:30,"1607 Kanya Rd 5:30 pm    Alabama Klerksdorp - Sunday - 17:30 86 Buitekant St, Alabama, Klerksdorp, 86",Senaone Soweto - Sunday - 16:30,"1607 Kanya Rd, Senaoane, Soweto, 1818, South Africa",1.25,True
sunday,JOHANNESBURG,5:30 pm,Alabama Klerksdorp - Sunday - 17:30,"86 Buitekant St, Alabama, Klerksdorp, 86 Buitekant St 6 pm       Benmore - Sunday - 18:00",Alabama Klerksdorp - Sunday - 17:30,"86 Buitekant St, Alabama, Klerksdorp, 2577, South Africa",1.25,True
sunday,JOHANNESBURG,6 pm,Benmore - Sunday - 18:00,"1 Pam Rd 6 pm       Parkhurst - Sunday - 18:00 20A 7th Ave, Parktown North,",Benmore - Sunday - 18:00,"1 Pam Rd, Morningside, Sandton, 2057, South Africa",1.25,True
sunday,JOHANNESBURG,6 pm,Parkhurst - Sunday - 18:00,"20A 7th Ave, Parktown North, Johannesburg, 2193, 20A 7th Ave KWAZULU-NATAL: KWAZULU-NATAL",Parkhurst - Sunday - 18:00,"20A 7th Ave, Parktown North, Randburg, 2193, South Africa",1.25,True
sunday,KWAZULU-NATAL,8 am,Durban Beach Sunday,"North Beach in front of Minitown, 114 Snell Parade 11:30 am   Phoenix Sunday                                  O",Durban Beach Sunday,"114 Snell Parade, North Beach, Durban, 4001, South Africa",1.25,True
sunday,KWAZULU-NATAL,11:30 am,Phoenix Sunday,"Phoenix Victory Center, 132 4 pm       Hillcrest Sunday                                O Hillcrest Presbyterian Family Church, 1A",Phoenix Sunday,"132, 134 Southbury Ave, Eastbury, Phoenix, 4068, South Africa",1.25,True
sunday,KWAZULU-NATAL,4 pm,Hillcrest Sunday,"Hillcrest Presbyterian Family Church, 1A Old Main Rd 4:30 pm    Park Rynie Sunday                               O",Hillcrest Sunday,"1A Old Main Rd, Hilldene, Hillcrest, 3610, South Africa",1.25,True
